Mass-to-Charge,Count
-0.997335,0
-0.977335,0
-0.957335,0
-0.937335,0
-0.917335,0
-0.897335,0
-0.877335,0
-0.857335,0
-0.837335,0
-0.817335,0
-0.797335,0
-0.777335,0
-0.757335,0
-0.737335,0
-0.717335,0
-0.697335,0
-0.677335,0
-0.657335,0
-0.637335,0
-0.617335,0
-0.597335,0
-0.577335,0
-0.557335,0
-0.537335,0
-0.517335,0
-0.497335,0
-0.477335,0
-0.457335,0
-0.437335,0
-0.417335,0
-0.397335,0
-0.377335,0
-0.357335,0
-0.337335,0
-0.317335,0
-0.297335,0
-0.277335,0
-0.257335,0
-0.237335,0
-0.217335,0
-0.197335,0
-0.177335,0
-0.157335,0
-0.137335,0
-0.117335,0
-0.0973355,0
-0.0773355,0
-0.0573354,0
-0.0373355,0
-0.0173355,0
0.00266457,161
0.0226645,101
0.0426645,65
0.0626645,55
0.0826645,54
0.102665,50
0.122665,56
0.142665,59
0.162665,35
0.182665,39
0.202664,41
0.222665,41
0.242665,37
0.262665,34
0.282665,30
0.302665,34
0.322664,40
0.342664,35
0.362665,25
0.382665,33
0.402665,28
0.422665,24
0.442665,29
0.462664,19
0.482665,30
0.502665,31
0.522665,26
0.542665,26
0.562665,25
0.582664,26
0.602664,26
0.622665,29
0.642665,16
0.662665,28
0.682665,23
0.702664,27
0.722664,21
0.742665,24
0.762665,20
0.782665,24
0.802665,23
0.822664,26
0.842664,17
0.862665,19
0.882665,27
0.902665,19
0.922665,18
0.942665,17
0.962664,23
0.982664,26
1.00266,15301
1.02266,418
1.04266,201
1.06266,123
1.08266,108
1.10266,77
1.12266,61
1.14266,64
1.16266,48
1.18266,49
1.20266,36
1.22266,29
1.24266,48
1.26266,37
1.28266,39
1.30266,33
1.32266,31
1.34266,29
1.36266,25
1.38266,26
1.40266,25
1.42266,32
1.44266,32
1.46266,27
1.48266,28
1.50266,21
1.52266,29
1.54266,25
1.56266,30
1.58266,19
1.60266,22
1.62266,31
1.64266,28
1.66266,25
1.68266,26
1.70266,17
1.72266,19
1.74266,19
1.76266,23
1.78266,28
1.80266,28
1.82266,9
1.84266,21
1.86266,18
1.88266,16
1.90266,19
1.92266,21
1.94266,23
1.96266,11
1.98266,15
2.00266,4287
2.02266,293
2.04266,122
2.06266,82
2.08266,48
2.10266,51
2.12266,45
2.14266,36
2.16266,27
2.18266,17
2.20266,20
2.22266,17
2.24266,21
2.26266,26
2.28266,14
2.30266,23
2.32266,23
2.34266,20
2.36266,15
2.38266,26
2.40266,20
2.42266,22
2.44266,19
2.46266,18
2.48266,19
2.50266,18
2.52266,18
2.54266,12
2.56266,17
2.58266,23
2.60266,18
2.62266,19
2.64266,13
2.66266,15
2.68266,12
2.70266,20
2.72266,17
2.74266,21
2.76266,16
2.78266,16
2.80266,14
2.82266,14
2.84266,16
2.86266,12
2.88266,12
2.90266,14
2.92266,18
2.94266,17
2.96266,19
2.98266,11
3.00266,66
3.02266,189
3.04266,22
3.06266,9
3.08266,20
3.10266,13
3.12266,11
3.14266,18
3.16266,17
3.18266,13
3.20266,10
3.22266,12
3.24266,10
3.26266,11
3.28266,17
3.30266,8
3.32266,10
3.34266,27
3.36266,14
3.38266,13
3.40266,12
3.42266,18
3.44266,11
3.46266,17
3.48266,12
3.50266,5
3.52266,9
3.54266,19
3.56266,17
3.58266,9
3.60266,11
3.62266,12
3.64266,11
3.66266,11
3.68266,19
3.70266,12
3.72266,13
3.74266,9
3.76266,12
3.78266,5
3.80266,9
3.82266,6
3.84266,21
3.86266,10
3.88266,12
3.90266,17
3.92266,15
3.94266,13
3.96266,13
3.98266,14
4.00266,12
4.02266,12
4.04266,9
4.06266,10
4.08266,20
4.10266,6
4.12266,13
4.14266,12
4.16266,10
4.18266,11
4.20266,11
4.22266,11
4.24266,18
4.26266,12
4.28266,11
4.30266,5
4.32266,15
4.34266,10
4.36266,9
4.38266,9
4.40266,9
4.42266,11
4.44266,5
4.46266,7
4.48266,7
4.50266,17
4.52266,6
4.54266,8
4.56266,11
4.58266,11
4.60266,17
4.62266,13
4.64266,9
4.66266,11
4.68266,10
4.70266,5
4.72266,12
4.74266,11
4.76266,2
4.78266,9
4.80266,9
4.82266,13
4.84266,8
4.86266,11
4.88266,5
4.90266,9
4.92266,8
4.94266,11
4.96266,7
4.98266,11
5.00266,5
5.02266,8
5.04266,9
5.06266,9
5.08266,7
5.10266,6
5.12266,7
5.14266,6
5.16266,11
5.18266,4
5.20266,6
5.22266,11
5.24266,7
5.26266,7
5.28266,11
5.30266,9
5.32266,9
5.34266,7
5.36266,7
5.38266,12
5.40266,7
5.42266,7
5.44266,8
5.46266,6
5.48266,13
5.50266,9
5.52266,12
5.54266,5
5.56266,7
5.58266,3
5.60266,9
5.62266,12
5.64266,4
5.66266,6
5.68266,4
5.70266,7
5.72266,5
5.74266,10
5.76266,5
5.78266,5
5.80266,9
5.82266,9
5.84266,5
5.86266,12
5.88266,8
5.90266,14
5.92266,16
5.94266,21
5.96266,180
5.98266,15297
6.00266,8938
6.02266,1061
6.04266,338
6.06266,164
6.08266,110
6.10266,98
6.12266,60
6.14266,61
6.16266,42
6.18266,36
6.20266,35
6.22266,29
6.24266,29
6.26266,23
6.28266,22
6.30266,23
6.32266,21
6.34266,22
6.36266,15
6.38266,17
6.40266,22
6.42266,13
6.44266,18
6.46266,21
6.48266,203
6.50266,215
6.52266,25
6.54266,25
6.56266,10
6.58266,15
6.60266,9
6.62266,21
6.64266,13
6.66266,8
6.68266,12
6.70266,10
6.72266,10
6.74266,6
6.76266,11
6.78266,10
6.80266,6
6.82266,10
6.84266,9
6.86266,14
6.88266,15
6.90266,16
6.92266,16
6.94266,12
6.96266,8
6.98266,50
7.00266,36
7.02266,15
7.04266,18
7.06266,12
7.08266,14
7.10266,12
7.12266,16
7.14266,10
7.16266,4
7.18266,17
7.20266,8
7.22266,15
7.24266,8
7.26266,12
7.28266,7
7.30266,12
7.32266,14
7.34266,12
7.36266,9
7.38266,5
7.40266,13
7.42266,7
7.44266,13
7.46266,10
7.48266,10
7.50266,8
7.52266,8
7.54266,13
7.56266,8
7.58266,15
7.60266,15
7.62266,11
7.64266,6
7.66266,4
7.68266,9
7.70266,5
7.72266,10
7.74266,12
7.76266,5
7.78266,8
7.80266,3
7.82266,11
7.84266,10
7.86266,5
7.88266,5
7.90266,7
7.92266,11
7.94266,6
7.96266,9
7.98266,16
8.00266,10
8.02266,7
8.04266,8
8.06266,7
8.08266,7
8.10266,8
8.12266,8
8.14266,6
8.16266,10
8.18266,6
8.20266,10
8.22266,8
8.24266,7
8.26266,8
8.28266,15
8.30266,12
8.32266,4
8.34266,6
8.36266,7
8.38266,5
8.40266,9
8.42266,5
8.44266,8
8.46266,7
8.48266,8
8.50266,10
8.52266,2
8.54266,8
8.56266,5
8.58266,7
8.60266,4
8.62266,7
8.64266,5
8.66266,5
8.68266,12
8.70266,4
8.72266,9
8.74266,10
8.76266,8
8.78266,4
8.80266,15
8.82266,6
8.84266,5
8.86266,8
8.88266,8
8.90266,10
8.92266,5
8.94266,13
8.96266,87
8.98266,7445
9.00266,1347
9.02266,267
9.04266,130
9.06266,72
9.08266,53
9.10266,35
9.12266,35
9.14266,28
9.16266,26
9.18266,18
9.20266,15
9.22266,17
9.24266,24
9.26266,16
9.28266,18
9.30266,15
9.32266,7
9.34266,9
9.36266,8
9.38266,11
9.40266,9
9.42266,13
9.44266,13
9.46266,8
9.48266,6
9.50266,10
9.52266,15
9.54266,6
9.56266,8
9.58266,8
9.60266,9
9.62266,12
9.64266,5
9.66266,5
9.68266,10
9.70266,9
9.72266,6
9.74266,15
9.76266,8
9.78266,9
9.80266,8
9.82266,10
9.84266,15
9.86266,13
9.88266,5
9.90266,10
9.92266,6
9.94266,7
9.96266,7
9.98266,10
10.0027,10
10.0227,10
10.0427,7
10.0627,7
10.0827,11
10.1027,8
10.1227,6
10.1427,12
10.1627,5
10.1827,8
10.2027,6
10.2227,6
10.2427,9
10.2627,6
10.2827,5
10.3027,9
10.3227,15
10.3427,13
10.3627,6
10.3827,2
10.4027,3
10.4227,8
10.4427,1
10.4627,8
10.4827,5
10.5027,11
10.5227,3
10.5427,6
10.5627,5
10.5827,7
10.6027,6
10.6227,5
10.6427,8
10.6627,6
10.6827,10
10.7027,8
10.7227,11
10.7427,3
10.7627,13
10.7827,8
10.8027,5
10.8227,8
10.8427,4
10.8627,6
10.8827,9
10.9027,4
10.9227,6
10.9427,9
10.9627,3
10.9827,3
11.0027,5
11.0227,3
11.0427,5
11.0627,6
11.0827,11
11.1027,7
11.1227,8
11.1427,4
11.1627,4
11.1827,6
11.2027,9
11.2227,5
11.2427,8
11.2627,7
11.2827,7
11.3027,6
11.3227,7
11.3427,5
11.3627,3
11.3827,10
11.4027,10
11.4227,5
11.4427,4
11.4627,8
11.4827,6
11.5027,5
11.5227,4
11.5427,7
11.5627,8
11.5827,8
11.6027,10
11.6227,7
11.6427,4
11.6627,6
11.6827,4
11.7027,3
11.7227,5
11.7427,3
11.7627,6
11.7827,8
11.8027,5
11.8227,7
11.8427,9
11.8627,4
11.8827,9
11.9027,8
11.9227,24
11.9427,46
11.9627,365
11.9827,10081
12.0027,7782
12.0227,1610
12.0427,583
12.0627,286
12.0827,168
12.1027,128
12.1227,105
12.1427,81
12.1627,67
12.1827,74
12.2027,50
12.2227,41
12.2427,48
12.2627,58
12.2827,40
12.3027,41
12.3227,45
12.3427,47
12.3627,35
12.3827,50
12.4027,32
12.4227,39
12.4427,33
12.4627,25
12.4827,31
12.5027,30
12.5227,25
12.5427,30
12.5627,32
12.5827,35
12.6027,25
12.6227,18
12.6427,22
12.6627,26
12.6827,17
12.7027,19
12.7227,18
12.7427,15
12.7627,17
12.7827,16
12.8027,20
12.8227,12
12.8427,16
12.8627,13
12.8827,21
12.9027,22
12.9227,13
12.9427,12
12.9627,21
12.9827,131
13.0027,186
13.0227,55
13.0427,26
13.0627,18
13.0827,13
13.1027,20
13.1227,18
13.1427,11
13.1627,10
13.1827,12
13.2027,7
13.2227,13
13.2427,12
13.2627,11
13.2827,10
13.3027,11
13.3227,9
13.3427,18
13.3627,11
13.3827,13
13.4027,11
13.4227,28
13.4427,101
13.4627,4937
13.4827,37043
13.5027,6148
13.5227,1440
13.5427,628
13.5627,345
13.5827,245
13.6027,173
13.6227,122
13.6427,111
13.6627,77
13.6827,94
13.7027,76
13.7227,59
13.7427,54
13.7627,55
13.7827,49
13.8027,47
13.8227,38
13.8427,41
13.8627,29
13.8827,35
13.9027,34
13.9227,25
13.9427,25
13.9627,41
13.9827,366
14.0027,315
14.0227,81
14.0427,43
14.0627,31
14.0827,25
14.1027,26
14.1227,29
14.1427,24
14.1627,33
14.1827,17
14.2027,22
14.2227,16
14.2427,26
14.2627,14
14.2827,15
14.3027,20
14.3227,17
14.3427,14
14.3627,17
14.3827,15
14.4027,14
14.4227,19
14.4427,22
14.4627,20
14.4827,21
14.5027,19
14.5227,24
14.5427,15
14.5627,20
14.5827,11
14.6027,23
14.6227,18
14.6427,19
14.6627,17
14.6827,17
14.7027,21
14.7227,19
14.7427,10
14.7627,17
14.7827,16
14.8027,15
14.8227,11
14.8427,22
14.8627,17
14.8827,16
14.9027,20
14.9227,8
14.9427,17
14.9627,13
14.9827,18
15.0027,15
15.0227,20
15.0427,12
15.0627,13
15.0827,9
15.1027,11
15.1227,21
15.1427,12
15.1627,11
15.1827,10
15.2027,17
15.2227,14
15.2427,12
15.2627,7
15.2827,14
15.3027,11
15.3227,11
15.3427,13
15.3627,9
15.3827,13
15.4027,6
15.4227,5
15.4427,10
15.4627,13
15.4827,19
15.5027,12
15.5227,5
15.5427,10
15.5627,8
15.5827,11
15.6027,6
15.6227,6
15.6427,4
15.6627,9
15.6827,5
15.7027,14
15.7227,10
15.7427,8
15.7627,7
15.7827,7
15.8027,7
15.8227,4
15.8427,8
15.8627,7
15.8827,8
15.9027,8
15.9227,8
15.9427,14
15.9627,159
15.9827,850
16.0027,303
16.0227,73
16.0427,49
16.0627,34
16.0827,27
16.1027,21
16.1227,14
16.1427,13
16.1627,17
16.1827,13
16.2027,16
16.2227,15
16.2427,18
16.2627,13
16.2827,12
16.3027,13
16.3227,13
16.3427,7
16.3627,7
16.3827,7
16.4027,14
16.4227,9
16.4427,10
16.4627,12
16.4827,5
16.5027,11
16.5227,7
16.5427,11
16.5627,6
16.5827,13
16.6027,7
16.6227,10
16.6427,12
16.6627,9
16.6827,11
16.7027,13
16.7227,11
16.7427,12
16.7627,9
16.7827,13
16.8027,9
16.8227,15
16.8427,10
16.8627,4
16.8827,10
16.9027,5
16.9227,2
16.9427,8
16.9627,14
16.9827,81
17.0027,90
17.0227,28
17.0427,10
17.0627,7
17.0827,12
17.1027,8
17.1227,6
17.1427,6
17.1627,8
17.1827,6
17.2027,9
17.2227,6
17.2427,4
17.2627,11
17.2827,37
17.3027,55
17.3227,20
17.3427,17
17.3627,12
17.3827,6
17.4027,5
17.4227,8
17.4427,11
17.4627,16
17.4827,26
17.5027,20
17.5227,9
17.5427,12
17.5627,7
17.5827,7
17.6027,13
17.6227,19
17.6427,17
17.6627,12
17.6827,5
17.7027,10
17.7227,5
17.7427,10
17.7627,4
17.7827,7
17.8027,9
17.8227,6
17.8427,7
17.8627,4
17.8827,6
17.9027,6
17.9227,3
17.9427,8
17.9627,146
17.9827,1919
18.0027,1033
18.0227,220
18.0427,85
18.0627,88
18.0827,51
18.1027,50
18.1227,42
18.1427,44
18.1627,39
18.1827,40
18.2027,34
18.2227,26
18.2427,12
18.2627,12
18.2827,15
18.3027,11
18.3227,9
18.3427,15
18.3627,7
18.3827,10
18.4027,12
18.4227,11
18.4427,3
18.4627,8
18.4827,70
18.5027,48
18.5227,13
18.5427,4
18.5627,9
18.5827,8
18.6027,16
18.6227,10
18.6427,12
18.6627,9
18.6827,14
18.7027,15
18.7227,5
18.7427,6
18.7627,4
18.7827,10
18.8027,7
18.8227,8
18.8427,8
18.8627,5
18.8827,8
18.9027,5
18.9227,4
18.9427,7
18.9627,4
18.9827,22
19.0027,29
19.0227,20
19.0427,8
19.0627,3
19.0827,4
19.1027,5
19.1227,15
19.1427,7
19.1627,6
19.1827,6
19.2027,6
19.2227,7
19.2427,6
19.2627,6
19.2827,11
19.3027,5
19.3227,6
19.3427,16
19.3627,7
19.3827,9
19.4027,6
19.4227,6
19.4427,11
19.4627,11
19.4827,10
19.5027,5
19.5227,6
19.5427,6
19.5627,2
19.5827,6
19.6027,7
19.6227,7
19.6427,11
19.6627,9
19.6827,8
19.7027,6
19.7227,7
19.7427,4
19.7627,5
19.7827,13
19.8027,8
19.8227,7
19.8427,4
19.8627,4
19.8827,9
19.9027,7
19.9227,3
19.9427,8
19.9627,32
19.9827,50
20.0027,28
20.0227,11
20.0427,6
20.0627,6
20.0827,6
20.1027,7
20.1227,5
20.1427,5
20.1627,6
20.1827,8
20.2027,6
20.2227,2
20.2427,5
20.2627,3
20.2827,3
20.3027,3
20.3227,9
20.3427,7
20.3627,11
20.3827,6
20.4027,5
20.4227,1
20.4427,14
20.4627,27
20.4827,53
20.5027,16
20.5227,8
20.5427,13
20.5627,6
20.5827,7
20.6027,11
20.6227,2
20.6427,5
20.6627,2
20.6827,5
20.7027,4
20.7227,4
20.7427,8
20.7627,5
20.7827,8
20.8027,5
20.8227,7
20.8427,4
20.8627,5
20.8827,4
20.9027,1
20.9227,4
20.9427,10
20.9627,8
20.9827,6
21.0027,5
21.0227,6
21.0427,5
21.0627,6
21.0827,5
21.1027,6
21.1227,7
21.1427,9
21.1627,9
21.1827,9
21.2027,4
21.2227,4
21.2427,0
21.2627,5
21.2827,7
21.3027,10
21.3227,6
21.3427,6
21.3627,2
21.3827,6
21.4027,6
21.4227,4
21.4427,18
21.4627,242
21.4827,396
21.5027,79
21.5227,28
21.5427,11
21.5627,22
21.5827,10
21.6027,11
21.6227,4
21.6427,5
21.6627,10
21.6827,4
21.7027,4
21.7227,9
21.7427,8
21.7627,4
21.7827,10
21.8027,4
21.8227,7
21.8427,4
21.8627,9
21.8827,7
21.9027,5
21.9227,7
21.9427,9
21.9627,16
21.9827,48
22.0027,18
22.0227,10
22.0427,6
22.0627,7
22.0827,5
22.1027,2
22.1227,5
22.1427,5
22.1627,5
22.1827,8
22.2027,4
22.2227,7
22.2427,3
22.2627,5
22.2827,5
22.3027,5
22.3227,6
22.3427,3
22.3627,5
22.3827,3
22.4027,3
22.4227,4
22.4427,3
22.4627,5
22.4827,9
22.5027,4
22.5227,4
22.5427,4
22.5627,4
22.5827,5
22.6027,6
22.6227,9
22.6427,6
22.6627,4
22.6827,5
22.7027,7
22.7227,5
22.7427,5
22.7627,7
22.7827,4
22.8027,4
22.8227,5
22.8427,4
22.8627,3
22.8827,6
22.9027,3
22.9227,6
22.9427,17
22.9627,42
22.9827,34
23.0027,11
23.0227,7
23.0427,8
23.0627,3
23.0827,4
23.1027,8
23.1227,4
23.1427,10
23.1627,2
23.1827,7
23.2027,4
23.2227,3
23.2427,5
23.2627,11
23.2827,130
23.3027,539
23.3227,194
23.3427,58
23.3627,18
23.3827,6
23.4027,9
23.4227,14
23.4427,14
23.4627,24
23.4827,12
23.5027,9
23.5227,6
23.5427,5
23.5627,7
23.5827,6
23.6027,7
23.6227,5
23.6427,10
23.6627,4
23.6827,2
23.7027,9
23.7227,3
23.7427,4
23.7627,5
23.7827,3
23.8027,6
23.8227,6
23.8427,3
23.8627,4
23.8827,8
23.9027,6
23.9227,20
23.9427,129
23.9627,1727
23.9827,7483
24.0027,4251
24.0227,984
24.0427,346
24.0627,178
24.0827,126
24.1027,88
24.1227,73
24.1427,59
24.1627,43
24.1827,25
24.2027,40
24.2227,30
24.2427,18
24.2627,25
24.2827,25
24.3027,36
24.3227,32
24.3427,17
24.3627,28
24.3827,17
24.4027,13
24.4227,17
24.4427,11
24.4627,43
24.4827,135
24.5027,103
24.5227,28
24.5427,15
24.5627,9
24.5827,12
24.6027,15
24.6227,6
24.6427,10
24.6627,11
24.6827,9
24.7027,6
24.7227,9
24.7427,12
24.7627,8
24.7827,6
24.8027,8
24.8227,8
24.8427,9
24.8627,10
24.8827,5
24.9027,7
24.9227,102
24.9427,1751
24.9627,6094
24.9827,2548
25.0027,656
25.0227,227
25.0427,130
25.0627,78
25.0827,63
25.1027,43
25.1227,31
25.1427,29
25.1627,23
25.1827,23
25.2027,15
25.2227,13
25.2427,13
25.2627,11
25.2827,13
25.3027,18
25.3227,14
25.3427,15
25.3627,14
25.3827,13
25.4027,13
25.4227,13
25.4427,32
25.4627,168
25.4827,191
25.5027,57
25.5227,19
25.5427,14
25.5627,13
25.5827,11
25.6027,8
25.6227,9
25.6427,13
25.6627,7
25.6827,10
25.7027,9
25.7227,6
25.7427,5
25.7627,10
25.7827,13
25.8027,13
25.8227,18
25.8427,20
25.8627,24
25.8827,65
25.9027,144
25.9227,3195
25.9427,45844
25.9627,107657
25.9827,35797
26.0027,9315
26.0227,3653
26.0427,1892
26.0627,1180
26.0827,817
26.1027,601
26.1227,456
26.1427,446
26.1627,353
26.1827,304
26.2027,223
26.2227,202
26.2427,192
26.2627,168
26.2827,135
26.3027,124
26.3227,123
26.3427,113
26.3627,95
26.3827,106
26.4027,110
26.4227,538
26.4427,5625
26.4627,12446
26.4827,4164
26.5027,1107
26.5227,427
26.5427,272
26.5627,204
26.5827,131
26.6027,113
26.6227,112
26.6427,100
26.6627,79
26.6827,70
26.7027,78
26.7227,58
26.7427,76
26.7627,53
26.7827,43
26.8027,37
26.8227,39
26.8427,48
26.8627,44
26.8827,54
26.9027,75
26.9227,361
26.9427,5976
26.9627,42992
26.9827,53439
27.0027,14144
27.0227,3837
27.0427,1467
27.0627,778
27.0827,511
27.1027,404
27.1227,319
27.1427,245
27.1627,225
27.1827,176
27.2027,176
27.2227,119
27.2427,126
27.2627,96
27.2827,101
27.3027,80
27.3227,95
27.3427,65
27.3627,80
27.3827,80
27.4027,76
27.4227,618
27.4427,6474
27.4627,13229
27.4827,4376
27.5027,1215
27.5227,478
27.5427,277
27.5627,191
27.5827,173
27.6027,103
27.6227,110
27.6427,73
27.6627,68
27.6827,71
27.7027,64
27.7227,73
27.7427,52
27.7627,50
27.7827,49
27.8027,42
27.8227,55
27.8427,29
27.8627,48
27.8827,45
27.9027,41
27.9227,41
27.9427,201
27.9627,436
27.9827,459
28.0027,202
28.0227,60
28.0427,54
28.0627,45
28.0827,33
28.1027,40
28.1227,32
28.1427,29
28.1627,28
28.1827,34
28.2027,36
28.2227,31
28.2427,31
28.2627,30
28.2827,24
28.3027,26
28.3227,32
28.3427,36
28.3627,19
28.3827,12
28.4027,33
28.4227,20
28.4427,22
28.4627,27
28.4827,25
28.5027,29
28.5227,14
28.5427,17
28.5627,19
28.5827,18
28.6027,18
28.6227,28
28.6427,39
28.6627,25
28.6827,18
28.7027,20
28.7227,20
28.7427,15
28.7627,16
28.7827,20
28.8027,13
28.8227,19
28.8427,11
28.8627,17
28.8827,22
28.9027,17
28.9227,15
28.9427,22
28.9627,23
28.9827,43
29.0027,39
29.0227,22
29.0427,23
29.0627,15
29.0827,13
29.1027,18
29.1227,15
29.1427,8
29.1627,8
29.1827,18
29.2027,18
29.2227,7
29.2427,15
29.2627,15
29.2827,12
29.3027,12
29.3227,16
29.3427,15
29.3627,12
29.3827,18
29.4027,16
29.4227,16
29.4427,14
29.4627,11
29.4827,18
29.5027,9
29.5227,11
29.5427,10
29.5627,17
29.5827,9
29.6027,12
29.6227,15
29.6427,11
29.6627,10
29.6827,14
29.7027,10
29.7227,7
29.7427,14
29.7627,11
29.7827,12
29.8027,14
29.8227,13
29.8427,11
29.8627,12
29.8827,12
29.9027,16
29.9227,13
29.9427,51
29.9627,348
29.9827,769
30.0027,388
30.0227,95
30.0427,35
30.0627,31
30.0827,20
30.1027,14
30.1227,23
30.1427,14
30.1627,15
30.1827,14
30.2027,9
30.2227,8
30.2427,12
30.2627,13
30.2827,13
30.3027,9
30.3227,13
30.3427,15
30.3627,11
